№;Шифр;Раздел;Описание;Код направления
1;ВТ;Вертикальный транспорт;Вертикальный транспорт;ГАП
2;ВТ;Вертикальный транспорт;Вертикальный транспорт;ГИП
3;АИ;Интерьер;Интерьер;АИ
4;АППЗ;Система автоматизации противопожарной защиты;Система автоматизации противопожарной защиты;АР
5;АР;Архитектурные решения, включая фасады;Архитектурные решения, включая фасады;АР
6;АСУиД;Автоматизация и диспечеризация;Автоматизация и диспечеризация;АСУ
7;АК;Автоматизация комнатная;Автоматизация комнатная;АСУ
8;АУВПТ;Водяное пожаротушение;Водяное пожаротушение и противопожарный водопровод;ВК
9;ВПВ;Противопожарный водопровод;Водяное пожаротушение и противопожарный водопровод;ВК
10;АУГПТ;Автоматические установки газового пожаротушения;Автоматические установки газового пожаротушения;СПЗ
11;ВК;Водоснабжение и водоотведение;Водоснабжение и водоотведение;ВК
12;ГП;Генплан и благоустройство;Генплан и благоустройство;ГП
13;КЖ;Конструкции железобетонные;Конструкции железобетонные;КЖ
14;КМ;Конструкции металлические;Конструкции металлические;КМ
15;КР;Конструктивные решения;Конструктивные решения;КР
16;ММ;Мультимедиа решения;Мультимедиа решения;ММ
17;НВК;Наружные сети водоснабжения и канализации, включая дренаж и полив;Наружные сети водоснабжения и канализации, включая дренаж и полив;ВК
18;НСС;Наружные сети связи;Наружные сети связи;СС
19;ОВиК;Отопление, вентиляция, кондиционирование, холодоснабжение, теплоснабжение;Отопление, вентиляция, кондиционирование, холодоснабжение, теплоснабжение;ОВиК
20;ОЗДС;Охранно-защитная дератизационная система;Охранно-защитная дератизационная система;СС
21;СД;Сметная документация;Сметная документация;СД
22;СКС;Структурированные кабельные системы;Структурированные кабельные системы;СС
23;ЛВС;Локальные вычислительные сети;Локальные вычислительные сети;СС
24;СКУД;Система контроля и управления доступом;Система контроля и управления доступом;СС
25;СОТ;Система охранного телевидения;Система охранного телевидения;СС
26;СОТС;Система охранно-тревожной сигнализации;Система охранно-тревожной сигнализации;СС
27;СОУЭ;Система оповещения и управления эвакуацией;Система оповещения и управления эвакуацией;СПЗ
28;СПС;Система пожарной сигнализации;Система пожарной сигнализации;СПЗ
29;СС;Слаботочные системы;Слаботочные системы (ТФ, СЧ);СС
30;ТХ;Технология;Технология;ТХ
31;ЭН;Наружные сети электроснабжения и освещения, включая фасадное освещение;Наружные сети электроснабжения и освещения, включая фасадное освещение;ЭОМ
32;ЭОМ;Электроснабжение и освещение;Электроснабжение и освещение;ЭОМ
33;СМ;Сметная документация;Сметная документация;СМ
34;ТИМ;Сканирование;Сканирование;ТИМ
35;ТИМ;Моделирование и координация;Моделирование и координация;ТИМ
36;КР;Обследование архитекторно-строительных конструкций;Обследование архитекторно-строительных конструкций;КР
37;ОИС;Обследование инжерерных систем;Обследование инжерерных систем;ГИП
38;ОИС;Обследование инжерерных систем;Обследование инжерерных систем;ГАП
39;УП;Управление проектом;Управление проектом;ГИП
40;УП;Управление проектом;Управление проектом;ГАП
