№;Шифр;Раздел;Описание;Код направления
1;ПЗ;Пояснительная записка;Общие сведения о проектируемом объекте, исходные данные, ТЭП;ГИП
2;ПЗУ;Схема планировочной организации земельного участка;Генеральный план, благоустройство территории, транспорт;ГП
3;АР;Архитектурные решения;Архитектурные решения, объемно-планировочные решения, архитектура;АР
4;КР;Конструктивные и объемно-планировочные решения;Конструктивная схема, расчетные нагрузки;КР
5;ИОС1;Система электроснабжения;Электроснабжение, электрооборудование (ЭО);ЭОМ
6;ИОС2;Система водоснабжения;Водоснабжение (ВК);ВК
7;ИОС3;Система водоотведения;Водоотведение (ВК);ВК
8;ИОС4;Отопление, вентиляция и кондиционирование воздуха, тепловые сети;Отопление, вентиляция и кондиционирование воздуха, тепловые сети (ОВиК);ОВиК
9;ИОС5;Сети связи;Телефонизация, интернет, ТВ (СС);СС
10;ИОС6;Система газоснабжения;Газоснабжение (при наличии) (ГСВ);ГС
11;ИОС7;Технологические решения;Технологическое оборудование (ТХ);ТХ
12;ПОС;Проект организации строительства;Методы производства работ, ресурсы;ПОС
13;ПОД;Проект организации работ по сносу;Организация сноса/демонтажа;ПОД
14;ООС;Перечень мероприятий по охране окружающей среды;Воздействие на окружающую среду;ГАП
15;ПБ;Мероприятия по обеспечению пожарной безопасности;Противопожарные мероприятия;ПБ
16;ОДИ;Мероприятия по обеспечению доступа инвалидов;Безбарьерная среда для МГН;АР
17;СМ;Смета на строительство;Сводный сметный расчет;СМ
18;ИД1;Сканирование;Дополнительные разделы;ТИМ
19;ИД2;Моделирование и координация;Дополнительные разделы;ТИМ
20;ИД3;Обследование архитекторно-строительных конструкций;Дополнительные разделы;КР
21;ИД4;Обследование инжерерных систем;Дополнительные разделы;ГИП
22;ИД5;Обследование инжерерных систем;Дополнительные разделы;ГАП
23;ИД6;Управление проектом;Дополнительные разделы;ГИП
24;ИД7;перечень мероприятий по гражданской обороне, мероприятий по предупреждению чрезвычайных ситуаций природного и техногенного характера (ГОЧС);ГИП
25;ИД8;декларация промышленной безопасности опасных производственных объектов(ДПБ);ГИП
26;ИД9; декларация безопасности гидротехнических сооружений(ДБГ);ГИП
26;ИД10;иная документация, установленная законодательными актами Российской Федерации;ГИП
