№;Шифр;Раздел;Описание;Код направления
1;ПЗ;Пояснительная записка;Общие сведения о проектируемом объекте, исходные данные, ТЭП;ГАП
2;ПЗ;Пояснительная записка;Общие сведения о проектируемом объекте, исходные данные, ТЭП;ГИП
3;ПЗУ;Схема планировочной организации земельного участка;Генеральный план, благоустройство территории, транспорт;ГП
4;АР;Объемно-планировочные и архитектурные решения;Архитектурные решенияОбъемно-планировочные решения, архитектура;АР
5;КР;Конструктивные и объемно-планировочные решения;Конструктивная схема, расчетные нагрузки;КР
6;ИОС1;Система электроснабжения;Электроснабжение, электрооборудование (ЭО);ЭОМ
7;ИОС2;Система водоснабжения;Водоснабжение (ВК);ВК
8;ИОС3;Система водоотведения;Водоотведение (ВК);ВК
9;ИОС4;Система отопления, вентиляции;Отопление, вентиляция, кондиционирование (ОВиК);ОВИК
10;ИОС5;Сети связи;Телефонизация, интернет, ТВ (СС);СС
11;ИОС6;Система газоснабжения;Газоснабжение (при наличии) (ГСВ);ГС
12;ИОС7;Технологические решения;Технологическое оборудование (ТХ);ТХ
13;ПОС;Проект организации строительства;Методы производства работ, ресурсы;ПОС
14;ПОД;Проект организации работ по сносу;Организация сноса/демонтажа;ПОД
15;ООС;Перечень мероприятий по охране окружающей среды;Воздействие на окружающую среду;ГАП
16;ООС;Перечень мероприятий по охране окружающей среды;Воздействие на окружающую среду;ГИП
17;ПБ;Мероприятия по обеспечению пожарной безопасности;Противопожарные мероприятия;ПБ
18;ОДИ;Мероприятия по обеспечению доступа инвалидов;Безбарьерная среда для МГН;АР
19;СМ;Смета на строительство;Сводный сметный расчет;СМ
20;ИД;Иная документация;Дополнительные разделы;ГИП
21;ИД;Иная документация;Дополнительные разделы;ГАП
22;ТИМ1;Сканирование;Дополнительные разделы;ТИМ
23;ТИМ2;Моделирование и координация;Дополнительные разделы;ТИМ
24;ТЗК;Обследование архитекторно-строительных конструкций;Дополнительные разделы;КР
25;ОИС;Обследование инжерерных систем;Дополнительные разделы;ГИП
26;ОИС;Обследование инжерерных систем;Дополнительные разделы;ГАП
27;УП;Управление проектом;Дополнительные разделы;ГИП
28;УП;Управление проектом;Дополнительные разделы;ГАП
