№;Должность;Код направления;Час;День
1;Архитектор;АИ;1375.5;11004.00
2;Архитектор-координатор;АИ;1069.00;8552.00
3;Ведущий архитектор;АИ;1482.2;11857.6
4;Руководитель направления;АИ;1870.7;14965.6
5;Техник;АИ;1024.8;8198.4
6;Архитектор;АР;1426.00;11408.00
7;Архитектор-координатор;АР;1069.00;8552.00
8;Ведущий архитектор;АР;1604.3;12834.4
9;Руководитель направления;АР;1692.5;13540.00
10;Техник;АР;534.8;4278.4
11;Ведущий инженер;АСУ;1470.2;11761.6
12;Главный специалист;АСУ;1336.2;10689.6
13;Инженер;АСУ;1052.5;8420.00
14;Руководитель направления;АСУ;1604.1;12832.8
15;Ведущий инженер;ВК;1515.1;12120.8
16;Инженер;ВК;1294.3;10354.4
17;Руководитель направления;ВК;1870.7;14965.6
18;Главный архитектор проекта;ГАП;1960.8;15686.4
19;Главный инженер проекта;ГИП;2049.6;16396.8
20;Генпланист;ГП;1870.7;14965.6
21;Инженер по газоснабжению;ГС;1960.8;15686.4
22;Инженер-конструктор;КЖ;1960.8;15686.4
23;Инженер-конструктор;КМ;1960.8;15686.4
24;Инженер-конструктор;КР;1960.8;15686.4
25;Ведущий инженер;ММ;1265.3;10122.4
26;Инженер;ММ;1158.3;9266.4
27;Руководитель направления;ММ;1603.5;12828.00
28;Специалист по пожарной безопасности;МПБ;1960.8;15686.4
29;Ведущий инженер;ОВИК;1542.3;12338.4
30;Инженер;ОВИК;1114.8;8918.4
31;Моделлер-координатор;ОВИК;1069.00;8552.00
32;Руководитель направления;ОВИК;1870.7;14965.6
33;Ведущий специалист;ОСК;1336.5;10692.00
34;Главный специалист;ОСК;1336.2;10689.6
35;Руководитель отдела;ОСК;1603.5;12828.00
36;Специалист;ОСК;623.9;4991.2
37;Инженер ПОС;ПОС;1960.8;15686.4
38;Директор по проектированию;Рук;3565.1;28520.8
39;Руководитель отдела;Рук;1959.8;15678.4
40;Инженер-сметчик;СМ;1069.00;8552.00
41;Ведущий инженер;СПЗ;1380.8;11046.4
42;Инженер;СПЗ;1162.5;9300.00
43;Ведущий инженер;СС;1604.3;12834.4
44;Главный инженер;СС;1782.5;14260.00
45;Инженер;СС;1202.9;9623.2
46;Руководитель направления;СС;1603.5;12828.00
47;Ведущий координатор;ТИМ;1603.5;12828.00
48;Инженер ТИМ;ТИМ;1069.00;8552.00
49;Инженер-программист;ТИМ;2316.1;18528.8
50;Менеджер ТИМ;ТИМ;1603.5;12828.00
51;Моделлер-координатор;ТИМ;1221.3;9770.4
52;Руководитель направления;ТИМ;1959.7;15677.6
53;Руководитель отдела;ТИМ;1870.7;14965.6
54;Техник;ТИМ;831.4;6651.2
55;Инженер-технолог;ТХ;1960.8;15686.4
56;Ведущий инженер;ЭОМ;1782.5;14260.00
57;Инженер;ЭОМ;1137.00;9096.00
