№,Абревиатура,Наименование раздела,Стадия
1,АР,Архитектурные решения,П
2,КР,Конструктивные решения,П
3,ВК,Сети водоснабжения и канализации,П
4,ОВИК,Отопление вентиляция и кондиционирование,П
5,ЭОМ,Силовое электрооборудование,П
6,ЭС,Сети электроснабжения,П
7,СС,Сети связи,П
8,АТХ,Автоматизация технологических процессов,П
9,ПС,Пожарная безопасность,П
10,ГП,Генеральный план,П
11,ТМ,Технология производства,П
12,ПОС,Проект организации строительства,П
13,ПОД,Проект организации демонтажа,П
14,СМ,Сметная документация,П
15,ИОС,Инженерные изыскания,П
16,ГС,Газоснабжение,П
17,ТС,Тепловые сети,П
18,ВВ,Водоснабжение,П
19,КН,Канализация,П
20,ЭН,Наружные сети электроснабжения,П
21,ИТП,Индивидуальный тепловой пункт,П
22,АУПТ,Автоматические установки пожаротушения,П
23,СОУЭ,Система оповещения и управления эвакуацией,П
24,СКУД,Система контроля и управления доступом,П
25,ОВ,Общие виды,П
26,КМ,Металлические конструкции,П
27,КД,Деревянные конструкции,П
28,КБ,Железобетонные конструкции,П
29,ОДД,Организация дорожного движения,П
30,АД,Автомобильные дороги,П
31,НВК,Наружные водопроводные сети,П
32,НК,Наружная канализация,П
33,НТ,Наружные тепловые сети,П
34,НГ,Наружные газовые сети,П
35,НЭ,Наружное электроснабжение,П
36,ТХ,Технология производства,П
37,ХВС,Холодное водоснабжение,П
38,ГВС,Горячее водоснабжение,П
39,К1,Бытовая канализация,П
40,К2,Ливневая канализация,П
41,К3,Производственная канализация,П
42,Т1,Отопление,П
43,Т2,Вентиляция,П
44,Т3,Кондиционирование,П
45,Т4,Противодымная вентиляция,П
46,Э1,Силовое электрооборудование,П
47,Э2,Электроосвещение,П
48,Э3,Заземление и молниезащита,П
49,Э4,Электропитание слаботочных систем,П
50,С1,Структурированные кабельные системы,П
51,С2,Телефонизация,П
52,С3,Радиофикация,П
53,С4,Телевидение,П
54,С5,Часофикация,П
55,А1,Автоматизация ИТП,П
56,А2,Автоматизация вентиляции,П
57,А3,Автоматизация освещения,П
58,А4,Диспетчеризация,П
59,ПБ1,Автоматическая пожарная сигнализация,П
60,ПБ2,Система пожаротушения,П
61,ПБ3,Противопожарный водопровод,П
62,ПБ4,Дымоудаление,П
63,Б1,Охранная сигнализация,П
64,Б2,Видеонаблюдение,П
65,Б3,Контроль доступа,П
66,Б4,Охранное освещение,П
67,ЛА,Ландшафтная архитектура,П
68,БЛ,Благоустройство,П
69,ОЗ,Озеленение,П
70,ВП,Вертикальная планировка,П
71,ДП,Дорожные покрытия,П
72,ТП,Тротуары и площадки,П
73,ОГ,Ограждения,П
74,НО,Наружное освещение,П
75,ДИ,Детские и игровые площадки,П
76,СП,Спортивные площадки,П
77,ПП,Парковочные места,П
78,МО,Малые архитектурные формы,П
79,РР,Рельеф и планировка,П
80,ДН,Дренажные системы,П
81,ЛВ,Ливневые воды,П
82,СН,Снегозадержание,П
83,ТЗ,Техническое задание,П
84,ПЗ,Пояснительная записка,П
85,СТ,Спецификации и таблицы,П
86,ДС,Деталировочные схемы,П
87,УП,Узлы и принципиальные схемы,П
88,МС,Монтажные схемы,П
89,ЭС,Электрические схемы,П
90,ГС,Гидравлические схемы,П
91,ПН,Планы и разрезы,П
92,ФР,Фасады и разрезы,П
93,КП,Конструктивные планы,П
94,АП,Архитектурные планы,П
95,СХ,Схемы расположения,П
96,ВИ,Ведомости и инструкции,П
97,ТТ,Технические требования,П
98,ПП,Проектные предложения,П
99,РП,Рабочие проекты,П
100,ЭП,Эскизные проекты,П
101,КД,Конструкторская документация,П
102,РД,Рабочая документация,П
103,ИД,Исполнительная документация,П
104,АВ,Авторский надзор,П
105,ТН,Технический надзор,П
106,ЭО,Экспертиза проектов,П
107,СР,Согласования и разрешения,П
