№,Абревиатура,Наименование раздела,Стадия
1,АР,Архитектурные решения,П/Р
2,КР,Конструктивные решения,П/Р
3,ВК,Сети водоснабжения и канализации,П
4,ОВИК,Отопление вентиляция и кондиционирование,Р
5,ЭОМ,Силовое электрооборудование,Р
6,ЭС,Сети электроснабжения,Р
7,СС,Сети связи,П/Р
8,АТХ,Автоматизация технологических процессов,П
9,ПС,Пожарная безопасность,Р
10,ГП,Генеральный план,Р
11,ТМ,Технология производства,Р
12,ПОС,Проект организации строительства,П/Р
13,ПОД,Проект организации демонтажа,Р
14,СМ,Сметная документация,П/Р
15,ИОС,Инженерные изыскания,П
16,ГС,Газоснабжение,Р
17,ТС,Тепловые сети,П/Р
18,ВВ,Водоснабжение,П/Р
19,КН,Канализация,Р
20,ЭН,Наружные сети электроснабжения,П/Р
21,ИТП,Индивидуальный тепловой пункт,Р
22,АУПТ,Автоматические установки пожаротушения,П/Р
23,СОУЭ,Система оповещения и управления эвакуацией,П
24,СКУД,Система контроля и управления доступом,Р
25,ОВ,Общие виды,Р
26,КМ,Металлические конструкции,Р
27,КД,Деревянные конструкции,П
28,КБ,Железобетонные конструкции,П/Р
29,ОДД,Организация дорожного движения,П/Р
30,АД,Автомобильные дороги,П
31,НВК,Наружные водопроводные сети,П/Р
32,НК,Наружная канализация,Р
33,НТ,Наружные тепловые сети,П
34,НГ,Наружные газовые сети,Р
35,НЭ,Наружное электроснабжение,П
36,ТХ,Технология производства,Р
37,ХВС,Холодное водоснабжение,П/Р
38,ГВС,Горячее водоснабжение,Р
39,К1,Бытовая канализация,П
40,К2,Ливневая канализация,Р
41,К3,Производственная канализация,П
42,Т1,Отопление,П
43,Т2,Вентиляция,Р
44,Т3,Кондиционирование,П
45,Т4,Противодымная вентиляция,Р
46,Э1,Силовое электрооборудование,П/Р
47,Э2,Электроосвещение,Р
48,Э3,Заземление и молниезащита,П
49,Э4,Электропитание слаботочных систем,П
50,С1,Структурированные кабельные системы,Р
51,С2,Телефонизация,П/Р
52,С3,Радиофикация,П/Р
53,С4,Телевидение,П/Р
54,С5,Часофикация,П
55,А1,Автоматизация ИТП,Р
56,А2,Автоматизация вентиляции,П/Р
57,А3,Автоматизация освещения,П/Р
58,А4,Диспетчеризация,Р
59,ПБ1,Автоматическая пожарная сигнализация,Р
60,ПБ2,Система пожаротушения,Р
61,ПБ3,Противопожарный водопровод,П/Р
62,ПБ4,Дымоудаление,П
63,Б1,Охранная сигнализация,Р
64,Б2,Видеонаблюдение,Р
65,Б3,Контроль доступа,Р
66,Б4,Охранное освещение,П
67,ЛА,Ландшафтная архитектура,Р
68,БЛ,Благоустройство,П
69,ОЗ,Озеленение,Р
70,ВП,Вертикальная планировка,П/Р
71,ДП,Дорожные покрытия,П
72,ТП,Тротуары и площадки,Р
73,ОГ,Ограждения,П/Р
74,НО,Наружное освещение,П
75,ДИ,Детские и игровые площадки,П
76,СП,Спортивные площадки,Р
77,ПП,Парковочные места,Р
78,МО,Малые архитектурные формы,Р
79,РР,Рельеф и планировка,П/Р
80,ДН,Дренажные системы,П/Р
81,ЛВ,Ливневые воды,П/Р
82,СН,Снегозадержание,П
83,ТЗ,Техническое задание,Р
84,ПЗ,Пояснительная записка,Р
85,СТ,Спецификации и таблицы,П
86,ДС,Деталировочные схемы,П/Р
87,УП,Узлы и принципиальные схемы,П
88,МС,Монтажные схемы,П/Р
89,ЭС,Электрические схемы,П
90,ГС,Гидравлические схемы,П
91,ПН,Планы и разрезы,П/Р
92,ФР,Фасады и разрезы,П
93,КП,Конструктивные планы,П
94,АП,Архитектурные планы,Р
95,СХ,Схемы расположения,П
96,ВИ,Ведомости и инструкции,Р
97,ТТ,Технические требования,П
98,ПП,Проектные предложения,Р
99,РП,Рабочие проекты,П
100,ЭП,Эскизные проекты,Р
101,КД,Конструкторская документация,Р
102,РД,Рабочая документация,Р
103,ИД,Исполнительная документация,П/Р
104,АВ,Авторский надзор,Р
105,ТН,Технический надзор,П/Р
106,ЭО,Экспертиза проектов,П/Р
107,СР,Согласования и разрешения,П
