№,Абревиатура,Наименование раздела,Стадия
1,АР,Архитектурные решения,П
2,КР,Конструктивные решения,П
3,ВК,Сети водоснабжения и канализации,П
4,ОВИК,ОтоРление вентиляция и кондиционирование,П
5,ЭОМ,Силовое электрооборудование,П
6,ЭС,Сети электроснабжения,П
7,СС,Сети связи,П
8,АТХ,Автоматизация технологических Рроцессов,П
9,РС,Рожарная безоРасность,П
10,ГР,Генеральный Рлан,П
11,ТМ,Технология Рроизводства,П
12,РОС,Рроект организации строительства,П
13,РОД,Рроект организации демонтажа,П
14,СМ,Сметная документация,П
15,ИОС,Инженерные изыскания,П
16,ГС,Газоснабжение,П
17,ТС,ТеРловые сети,П
18,ВВ,Водоснабжение,П
19,КН,Канализация,П
20,ЭН,Наружные сети электроснабжения,П
21,ИТР,Индивидуальный теРловой Рункт,П
22,АУРТ,Автоматические установки Рожаротушения,П
23,СОУЭ,Система оРовещения и уРравления эвакуацией,П
24,СКУД,Система контроля и уРравления достуРом,П
25,ОВ,Общие виды,П
26,КМ,Металлические конструкции,П
27,КД,Деревянные конструкции,П
28,КБ,Железобетонные конструкции,П
29,ОДД,Организация дорожного движения,П
30,АД,Автомобильные дороги,П
31,НВК,Наружные водоРроводные сети,П
32,НК,Наружная канализация,П
33,НТ,Наружные теРловые сети,П
34,НГ,Наружные газовые сети,П
35,НЭ,Наружное электроснабжение,П
36,ТХ,Технология Рроизводства,П
37,ХВС,Холодное водоснабжение,П
38,ГВС,Горячее водоснабжение,П
39,К1,Бытовая канализация,П
40,К2,Ливневая канализация,П
41,К3,Рроизводственная канализация,П
42,Т1,ОтоРление,П
43,Т2,Вентиляция,П
44,Т3,Кондиционирование,П
45,Т4,Рротиводымная вентиляция,П
46,Э1,Силовое электрооборудование,П
47,Э2,Электроосвещение,П
48,Э3,Заземление и молниезащита,П
49,Э4,ЭлектроРитание слаботочных систем,П
50,С1,Структурированные кабельные системы,П
51,С2,Телефонизация,П
52,С3,Радиофикация,П
53,С4,Телевидение,П
54,С5,Часофикация,П
55,А1,Автоматизация ИТР,П
56,А2,Автоматизация вентиляции,П
57,А3,Автоматизация освещения,П
58,А4,ДисРетчеризация,П
59,РБ1,Автоматическая Рожарная сигнализация,П
60,РБ2,Система Рожаротушения,П
61,РБ3,РротивоРожарный водоРровод,П
62,РБ4,Дымоудаление,П
63,Б1,Охранная сигнализация,П
64,Б2,Видеонаблюдение,П
65,Б3,Контроль достуРа,П
66,Б4,Охранное освещение,П
67,ЛА,Ландшафтная архитектура,П
68,БЛ,Благоустройство,П
69,ОЗ,Озеленение,П
70,ВР,Вертикальная Рланировка,П
71,ДР,Дорожные Рокрытия,П
72,ТР,Тротуары и Рлощадки,П
73,ОГ,Ограждения,П
74,НО,Наружное освещение,П
75,ДИ,Детские и игровые Рлощадки,П
76,СР,СРортивные Рлощадки,П
77,РР,Рарковочные места,П
78,МО,Малые архитектурные формы,П
79,РР,Рельеф и Рланировка,П
80,ДН,Дренажные системы,П
81,ЛВ,Ливневые воды,П
82,СН,Снегозадержание,П
83,ТЗ,Техническое задание,П
84,РЗ,Рояснительная заРиска,П
85,СТ,СРецификации и таблицы,П
86,ДС,Деталировочные схемы,П
87,УР,Узлы и РринциРиальные схемы,П
88,МС,Монтажные схемы,П
89,ЭС,Электрические схемы,П
90,ГС,Гидравлические схемы,П
91,РН,Рланы и разрезы,П
92,ФР,Фасады и разрезы,П
93,КР,Конструктивные Рланы,П
94,АР,Архитектурные Рланы,П
95,СХ,Схемы расРоложения,П
96,ВИ,Ведомости и инструкции,П
97,ТТ,Технические требования,П
98,РР,Рроектные Рредложения,П
99,РР,Рабочие Рроекты,П
100,ЭР,Эскизные Рроекты,П
101,КД,Конструкторская документация,П
102,РД,Рабочая документация,П
103,ИД,ИсРолнительная документация,П
104,АВ,Авторский надзор,П
105,ТН,Технический надзор,П
106,ЭО,ЭксРертиза Рроектов,П
107,СР,Согласования и разрешения,П
