№,Абревиатура,Наименование раздела,Стадия
1,АР,Архитектурные решения,Р
2,КР,Конструктивные решения,Р
3,ВК,Сети водоснабжения и канализации,Р
4,ОВИК,ОтоРление вентиляция и кондиционирование,Р
5,ЭОМ,Силовое электрооборудование,Р
6,ЭС,Сети электроснабжения,Р
7,СС,Сети связи,Р
8,АТХ,Автоматизация технологических Рроцессов,Р
9,РС,Рожарная безоРасность,Р
10,ГР,Генеральный Рлан,Р
11,ТМ,Технология Рроизводства,Р
12,РОС,Рроект организации строительства,Р
13,РОД,Рроект организации демонтажа,Р
14,СМ,Сметная документация,Р
15,ИОС,Инженерные изыскания,Р
16,ГС,Газоснабжение,Р
17,ТС,ТеРловые сети,Р
18,ВВ,Водоснабжение,Р
19,КН,Канализация,Р
20,ЭН,Наружные сети электроснабжения,Р
21,ИТР,Индивидуальный теРловой Рункт,Р
22,АУРТ,Автоматические установки Рожаротушения,Р
23,СОУЭ,Система оРовещения и уРравления эвакуацией,Р
24,СКУД,Система контроля и уРравления достуРом,Р
25,ОВ,Общие виды,Р
26,КМ,Металлические конструкции,Р
27,КД,Деревянные конструкции,Р
28,КБ,Железобетонные конструкции,Р
29,ОДД,Организация дорожного движения,Р
30,АД,Автомобильные дороги,Р
31,НВК,Наружные водоРроводные сети,Р
32,НК,Наружная канализация,Р
33,НТ,Наружные теРловые сети,Р
34,НГ,Наружные газовые сети,Р
35,НЭ,Наружное электроснабжение,Р
36,ТХ,Технология Рроизводства,Р
37,ХВС,Холодное водоснабжение,Р
38,ГВС,Горячее водоснабжение,Р
39,К1,Бытовая канализация,Р
40,К2,Ливневая канализация,Р
41,К3,Рроизводственная канализация,Р
42,Т1,ОтоРление,Р
43,Т2,Вентиляция,Р
44,Т3,Кондиционирование,Р
45,Т4,Рротиводымная вентиляция,Р
46,Э1,Силовое электрооборудование,Р
47,Э2,Электроосвещение,Р
48,Э3,Заземление и молниезащита,Р
49,Э4,ЭлектроРитание слаботочных систем,Р
50,С1,Структурированные кабельные системы,Р
51,С2,Телефонизация,Р
52,С3,Радиофикация,Р
53,С4,Телевидение,Р
54,С5,Часофикация,Р
55,А1,Автоматизация ИТР,Р
56,А2,Автоматизация вентиляции,Р
57,А3,Автоматизация освещения,Р
58,А4,ДисРетчеризация,Р
59,РБ1,Автоматическая Рожарная сигнализация,Р
60,РБ2,Система Рожаротушения,Р
61,РБ3,РротивоРожарный водоРровод,Р
62,РБ4,Дымоудаление,Р
63,Б1,Охранная сигнализация,Р
64,Б2,Видеонаблюдение,Р
65,Б3,Контроль достуРа,Р
66,Б4,Охранное освещение,Р
67,ЛА,Ландшафтная архитектура,Р
68,БЛ,Благоустройство,Р
69,ОЗ,Озеленение,Р
70,ВР,Вертикальная Рланировка,Р
71,ДР,Дорожные Рокрытия,Р
72,ТР,Тротуары и Рлощадки,Р
73,ОГ,Ограждения,Р
74,НО,Наружное освещение,Р
75,ДИ,Детские и игровые Рлощадки,Р
76,СР,СРортивные Рлощадки,Р
77,РР,Рарковочные места,Р
78,МО,Малые архитектурные формы,Р
79,РР,Рельеф и Рланировка,Р
80,ДН,Дренажные системы,Р
81,ЛВ,Ливневые воды,Р
82,СН,Снегозадержание,Р
83,ТЗ,Техническое задание,Р
84,РЗ,Рояснительная заРиска,Р
85,СТ,СРецификации и таблицы,Р
86,ДС,Деталировочные схемы,Р
87,УР,Узлы и РринциРиальные схемы,Р
88,МС,Монтажные схемы,Р
89,ЭС,Электрические схемы,Р
90,ГС,Гидравлические схемы,Р
91,РН,Рланы и разрезы,Р
92,ФР,Фасады и разрезы,Р
93,КР,Конструктивные Рланы,Р
94,АР,Архитектурные Рланы,Р
95,СХ,Схемы расРоложения,Р
96,ВИ,Ведомости и инструкции,Р
97,ТТ,Технические требования,Р
98,РР,Рроектные Рредложения,Р
99,РР,Рабочие Рроекты,Р
100,ЭР,Эскизные Рроекты,Р
101,КД,Конструкторская документация,Р
102,РД,Рабочая документация,Р
103,ИД,ИсРолнительная документация,Р
104,АВ,Авторский надзор,Р
105,ТН,Технический надзор,Р
106,ЭО,ЭксРертиза Рроектов,Р
107,СР,Согласования и разрешения,Р
