Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Премиум,Полы,Жилая зона,м²,12-15 тыс.,Материалы: 70%; Работа: 30%
Бизнес,Полы,Жилая зона,м²,8-10 тыс.,Материалы: 70%; Работа: 30%
Стандарт,Полы,Жилая зона,м²,4-6 тыс.,Материалы: 70%; Работа: 30%
Премиум,Полы,Санузлы,м²,15-18 тыс.,Материалы: 65%; Работа: 35%
Бизнес,Полы,Санузлы,м²,10-12 тыс.,Материалы: 65%; Работа: 35%
Стандарт,Полы,Санузлы,м²,6-8 тыс.,Материалы: 65%; Работа: 35%
Премиум,Стены,Жилая зона,м²,8-10 тыс.,Материалы: 60%; Работа: 40%
Бизнес,Стены,Жилая зона,м²,5-7 тыс.,Материалы: 60%; Работа: 40%
Стандарт,Стены,Жилая зона,м²,3-4 тыс.,Материалы: 60%; Работа: 40%
Премиум,Стены,Санузлы,м²,12-15 тыс.,Материалы: 65%; Работа: 35%
Бизнес,Стены,Санузлы,м²,8-10 тыс.,Материалы: 65%; Работа: 35%
Стандарт,Стены,Санузлы,м²,5-6 тыс.,Материалы: 65%; Работа: 35%
Премиум,Потолки,Жилая зона,м²,4-5 тыс.,Материалы: 55%; Работа: 45%
Бизнес,Потолки,Жилая зона,м²,2-3 тыс.,Материалы: 55%; Работа: 45%
Стандарт,Потолки,Жилая зона,м²,1.5-2 тыс.,Материалы: 55%; Работа: 45%
Премиум,Потолки,Санузлы,м²,3-4 тыс.,Материалы: 55%; Работа: 45%
Бизнес,Потолки,Санузлы,м²,2-2.5 тыс.,Материалы: 55%; Работа: 45%
Стандарт,Потолки,Санузлы,м²,1.5-2 тыс.,Материалы: 55%; Работа: 45%
