Класс,Тип,Подтип,Ед. изм.,Стоимость,Структура затрат
Премиум,Полы,Рабочая зона,м²,10-12 тыс.,Материалы: 70%; Работа: 30%
Бизнес,Полы,Рабочая зона,м²,6-8 тыс.,Материалы: 70%; Работа: 30%
Стандарт,Полы,Рабочая зона,м²,3-4 тыс.,Материалы: 70%; Работа: 30%
Премиум,Полы,Санузлы,м²,12-15 тыс.,Материалы: 65%; Работа: 35%
Бизнес,Полы,Санузлы,м²,8-10 тыс.,Материалы: 65%; Работа: 35%
Стандарт,Полы,Санузлы,м²,5-6 тыс.,Материалы: 65%; Работа: 35%
Премиум,Стены,Рабочая зона,м²,6-8 тыс.,Материалы: 60%; Работа: 40%
Бизнес,Стены,Рабочая зона,м²,4-5 тыс.,Материалы: 60%; Работа: 40%
Стандарт,Стены,Рабочая зона,м²,2-3 тыс.,Материалы: 60%; Работа: 40%
Премиум,Стены,Санузлы,м²,10-12 тыс.,Материалы: 65%; Работа: 35%
Бизнес,Стены,Санузлы,м²,6-8 тыс.,Материалы: 65%; Работа: 35%
Стандарт,Стены,Санузлы,м²,4-5 тыс.,Материалы: 65%; Работа: 35%
Премиум,Потолки,Рабочая зона,м²,3-4 тыс.,Материалы: 55%; Работа: 45%
Бизнес,Потолки,Рабочая зона,м²,2-2.5 тыс.,Материалы: 55%; Работа: 45%
Стандарт,Потолки,Рабочая зона,м²,1.5-2 тыс.,Материалы: 55%; Работа: 45%
Премиум,Потолки,Санузлы,м²,2.5-3 тыс.,Материалы: 55%; Работа: 45%
Бизнес,Потолки,Санузлы,м²,1.8-2.2 тыс.,Материалы: 55%; Работа: 45%
Стандарт,Потолки,Санузлы,м²,1.2-1.5 тыс.,Материалы: 55%; Работа: 45%
